tconst	parentTconst	seasonNumber	episodeNumber
tt0635306	tt0243069	1	13
tt0635307	tt0243069	1	2
tt0635308	tt0243069	1	12
tt0635309	tt0243069	1	9
tt0635310	tt0243069	1	3
tt0635311	tt0243069	1	4
tt0635312	tt0243069	1	6
tt0635313	tt0243069	1	8
tt0635314	tt0243069	1	1
tt0635315	tt0243069	1	7
tt0635316	tt0243069	1	10
tt0635317	tt0243069	1	11
tt0635318	tt0243069	1	5
tt0635652	tt0058823	1	3
tt0635653	tt0058823	1	2
tt0635654	tt0058823	1	21
tt0635655	tt0058823	1	10
tt0635656	tt0058823	1	23
tt0635657	tt0058823	1	25
tt0635658	tt0058823	1	24
tt0635659	tt0058823	1	17
tt0635660	tt0058823	1	16
tt0635661	tt0058823	1	15
tt0635662	tt0058823	1	20
tt0635663	tt0058823	1	6
tt0635664	tt0058823	1	11
tt0635665	tt0058823	1	26
tt0635666	tt0058823	1	7
tt0635667	tt0058823	1	12
tt0635668	tt0058823	1	22
tt0635669	tt0058823	1	8
tt0635670	tt0058823	1	9
tt0635671	tt0058823	1	1
tt0635672	tt0058823	1	19
tt0635673	tt0058823	1	13
tt0635674	tt0058823	1	4
tt0635675	tt0058823	1	5
tt0635676	tt0058823	1	18
tt0635677	tt0058823	1	14
tt0635701	tt0358323	2	5
tt0635702	tt0358323	2	4
tt0635703	tt0358323	1	3
tt0635704	tt0358323	1	4
tt0635705	tt0358323	2	2
tt0635706	tt0358323	1	7
tt0635707	tt0358323	2	6
tt0635708	tt0358323	1	1
tt0635709	tt0358323	1	6
tt0635710	tt0358323	2	1
tt0635711	tt0358323	2	3
tt0635712	tt0358323	1	5
tt0635713	tt0358323	1	8
tt0635714	tt0358323	1	2
tt3651938	tt3632248	1	1
tt3651942	tt3632248	1	2
tt3651950	tt3632248	1	4
tt3651952	tt3632248	1	3
tt3651954	tt3632248	1	5
tt3651962	tt3632248	1	6
tt3651964	tt3632248	1	7
tt3651970	tt3632248	1	8
tt3651972	tt3632248	1	9
tt3651974	tt3632248	1	10